completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,price_level
,1250,Pandan,Apartment,3,1,2,900,Not Furnished,Kuala Lumpur,7,2,cheap
,1200,Cheras,Apartment,3,1,2,1006,Partially Furnished,Kuala Lumpur,,4,cheap
,1300,Cheras,Apartment,3,,2,996,Partially Furnished,Kuala Lumpur,4,1,cheap
,1000,Ampang,Apartment,3,1,2,861,Not Furnished,Kuala Lumpur,3,2,cheap
,2000,Cheras,Condominium,3,2,2,1018,Partially Furnished,Kuala Lumpur,,,Expensive
,1200,Sentul,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,14,5,Expensive
2013,1750,Cheras,Service Residence,2,1,2,719,Fully Furnished,Kuala Lumpur,6,4,Expensive
2021,2000,Cheras,Condominium,3,2,2,1000,Fully Furnished,Kuala Lumpur,10,3,Expensive
,1500,Ipoh,Condominium,3,,2,1068,Partially Furnished,Kuala Lumpur,8,4,cheap
2020,2200,Jalil,Condominium,3,2,3,1100,Fully Furnished,Kuala Lumpur,14,5,Expensive
2009,1650,Dutamas,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,,,cheap
2019,2000,Besi,Condominium,3,1,2,839,Fully Furnished,Kuala Lumpur,5,,Expensive
2022,2300,Petaling,Service Residence,3,1,2,861,Fully Furnished,Kuala Lumpur,14,5,Expensive
,1450,Desa,Condominium,3,1,2,1150,Partially Furnished,Kuala Lumpur,10,,cheap
2010,1250,Cheras,Condominium,3,1,2,755,Partially Furnished,Kuala Lumpur,,,cheap
,1750,Besi,Service Residence,1,2,1,811,Fully Furnished,Kuala Lumpur,14,5,Expensive
2021,1500,Setapak,Condominium,3,1,2,800,Partially Furnished,Kuala Lumpur,12,,cheap
2022,1198,Petaling,Service Residence,1,2,1,667,Partially Furnished,Kuala Lumpur,14,5,Expensive
,1800,Road,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,9,4,Expensive
2021,1300,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,,Expensive
2021,1788,Lama,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,5,cheap
2009,1800,Ipoh,Condominium,2,1,2,840,Fully Furnished,Kuala Lumpur,14,4,Expensive
,1200,Cheras,Apartment,3,1,2,860,Partially Furnished,Kuala Lumpur,5,4,cheap
2021,1600,Kepong,Service Residence,3,1,2,916,Not Furnished,Kuala Lumpur,14,3,cheap
2014,1400,Cheras,Service Residence,2,1,1,695,Partially Furnished,Kuala Lumpur,14,3,Expensive
,1500,Desa,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,4,,cheap
2021,2000,Damansara,Service Residence,1,1,1,499,Fully Furnished,Kuala Lumpur,14,4,Expensive
2021,1700,Damansara,Service Residence,1,1,1,499,Partially Furnished,Kuala Lumpur,14,3,Expensive
,1350,Cheras,Condominium,3,2,2,1003,Partially Furnished,Kuala Lumpur,14,5,cheap
,2400,Setapak,Service Residence,3,,2,928,Fully Furnished,Kuala Lumpur,5,,Expensive
,1200,OUG,Service Residence,3,1,2,950,Partially Furnished,Kuala Lumpur,9,5,cheap
,1988,Cheras,Condominium,3,2,2,1003,Fully Furnished,Kuala Lumpur,14,5,Expensive
,1200,Ampang,Condominium,3,1,2,865,Not Furnished,Kuala Lumpur,,,cheap
2015,1350,Cheras,Service Residence,1,2,1,618,Fully Furnished,Kuala Lumpur,9,,Expensive
2016,1700,Road,Condominium,2,1,2,900,Fully Furnished,Kuala Lumpur,10,5,Expensive
2007,1500,Hartamas,Service Residence,1,1,1,500,Fully Furnished,Kuala Lumpur,11,5,Expensive
2021,1500,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,,Expensive
,1600,Setapak,Condominium,3,1,2,800,Partially Furnished,Kuala Lumpur,9,2,cheap
,1200,OUG,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,7,,cheap
,1800,Cheras,Condominium,2,2,2,1072,Fully Furnished,Kuala Lumpur,12,3,Expensive
,1800,Setapak,Service Residence,2,2,1,900,Partially Furnished,Kuala Lumpur,11,4,Expensive
2017,1400,Cheras,Service Residence,3,2,2,1050,Partially Furnished,Kuala Lumpur,6,3,cheap
,1500,Maju,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,9,3,cheap
2021,2100,Damansara,Service Residence,1,2,1,761,Partially Furnished,Kuala Lumpur,11,3,Expensive
,1900,Cheras,Condominium,3,2,2,1000,Partially Furnished,Kuala Lumpur,,,Expensive
,1700,Kiara,Service Residence,1,1,1,500,Fully Furnished,Kuala Lumpur,12,5,Expensive
2010,1600,Maju,Condominium,3,1,2,1267,Fully Furnished,Kuala Lumpur,8,,cheap
2022,2500,Keramat,Service Residence,1,2,1,736,Fully Furnished,Kuala Lumpur,8,,Expensive
,3000,Kiara,Condominium,3,,2,1432,Partially Furnished,Kuala Lumpur,10,2,Expensive
2007,1800,Setapak,Condominium,3,1,2,1076,Fully Furnished,Kuala Lumpur,10,3,Expensive
2016,2800,Damansara,Condominium,3,2,3,1610,Fully Furnished,Kuala Lumpur,9,,Expensive
,900,Setapak,Apartment,3,,1,715,Not Furnished,Kuala Lumpur,4,,cheap
,1250,Cheras,Condominium,3,1,2,748,Partially Furnished,Kuala Lumpur,5,2,cheap
,2700,Setiawangsa,Condominium,3,2,2,1115,Partially Furnished,Kuala Lumpur,9,,Expensive
2018,1600,Ipoh,Service Residence,2,1,2,900,Partially Furnished,Kuala Lumpur,14,3,Expensive
,1400,Maju,Apartment,3,2,2,800,Not Furnished,Kuala Lumpur,6,2,cheap
2021,1450,Setapak,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,12,,cheap
2022,2300,Desa,Condominium,3,2,2,921,Fully Furnished,Kuala Lumpur,8,3,Expensive
2017,1200,Kepong,Apartment,3,1,2,1000,Fully Furnished,Kuala Lumpur,3,1,cheap
,1500,Hartamas,Service Residence,1,,1,590,Fully Furnished,Kuala Lumpur,14,5,Expensive
,1100,Petaling,Condominium,3,1,2,800,Not Furnished,Kuala Lumpur,8,1,cheap
,1650,Setapak,Condominium,1,1,1,700,Fully Furnished,Kuala Lumpur,12,,Expensive
,1600,Setapak,Service Residence,1,1,1,700,Fully Furnished,Kuala Lumpur,6,,Expensive
2016,2500,City,Service Residence,2,1,2,977,Fully Furnished,Kuala Lumpur,11,4,Expensive
2016,1500,City,Service Residence,1,1,1,506,Fully Furnished,Kuala Lumpur,11,4,Expensive
,800,Kepong,Apartment,3,,2,935,Not Furnished,Kuala Lumpur,2,1,cheap
,1100,Pandan,Condominium,1,,1,650,Fully Furnished,Kuala Lumpur,9,,Expensive
,1700,Cheras,Condominium,3,1,2,1090,Not Furnished,Kuala Lumpur,6,2,cheap
2020,3000,Cheras,Service Residence,3,2,3,1356,Not Furnished,Kuala Lumpur,8,3,Expensive
2006,1600,Setiawangsa,Condominium,3,1,2,1267,Fully Furnished,Kuala Lumpur,3,,cheap
,750,Setapak,Apartment,3,,1,700,Not Furnished,Kuala Lumpur,4,1,cheap
,1250,Setapak,Condominium,3,1,2,1300,Partially Furnished,Kuala Lumpur,12,,cheap
,2000,Cheras,Condominium,3,1,2,1285,Fully Furnished,Kuala Lumpur,6,2,Expensive
,1200,Setapak,Service Residence,1,1,1,618,Partially Furnished,Kuala Lumpur,6,,Expensive
,1850,Maju,Apartment,3,1,2,800,Fully Furnished,Kuala Lumpur,5,4,Expensive
2020,2400,Jalil,Condominium,3,2,3,1239,Fully Furnished,Kuala Lumpur,14,5,Expensive
,900,Setapak,Apartment,3,1,2,657,Not Furnished,Kuala Lumpur,3,,cheap
,601,Serdang,Condominium,2,1,1,591,Not Furnished,Kuala Lumpur,10,1,cheap
,1950,Jalil,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,6,3,Expensive
2009,1100,Kepong,Apartment,3,1,2,948,Not Furnished,Kuala Lumpur,6,1,cheap
,1400,Pandan,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,10,2,cheap
2021,2450,Segambut,Condominium,2,2,2,900,Fully Furnished,Kuala Lumpur,10,4,Expensive
2020,2200,City,Condominium,1,1,1,550,Fully Furnished,Kuala Lumpur,7,3,Expensive
,1600,Cheras,Condominium,3,1,2,1285,Partially Furnished,Kuala Lumpur,12,4,cheap
,1200,Jalil,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,6,,cheap
,1600,Setapak,Condominium,3,1,2,800,Partially Furnished,Kuala Lumpur,9,1,cheap
,1100,Cheras,Condominium,3,1,2,932,Partially Furnished,Kuala Lumpur,8,3,cheap
,1200,Indah,Apartment,2,,2,1022,Partially Furnished,Kuala Lumpur,,3,Expensive
,700,Cheras,Apartment,3,,1,750,Not Furnished,Kuala Lumpur,1,,cheap
,1730,Sentul,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,8,4,cheap
2016,3400,KLCC,Service Residence,2,1,2,1055,Fully Furnished,Kuala Lumpur,9,,Expensive
2021,2500,Lama,Condominium,3,2,2,1200,Fully Furnished,Kuala Lumpur,6,5,Expensive
2019,2200,Puchong,Service Residence,3,2,2,1002,Fully Furnished,Kuala Lumpur,9,,Expensive
2007,1200,Ampang,Apartment,3,1,2,871,Partially Furnished,Kuala Lumpur,3,1,cheap
2017,1400,Sentul,Condominium,3,1,1,1009,Partially Furnished,Kuala Lumpur,6,,cheap
,1700,Sentul,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,9,,cheap
,1700,Pandan,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,10,3,cheap
,1300,Cheras,Condominium,3,1,2,865,Partially Furnished,Kuala Lumpur,8,3,cheap
,2000,Cheras,Service Residence,1,1,2,762,Fully Furnished,Kuala Lumpur,11,4,Expensive
,1500,Cheras,Condominium,3,2,2,1105,Partially Furnished,Kuala Lumpur,11,2,cheap
2004,1600,Kuching,Condominium,3,1,2,1100,Not Furnished,Kuala Lumpur,13,2,cheap
2020,1500,Sentul,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,10,2,cheap
,800,Kepong,Apartment,3,1,2,866,Partially Furnished,Kuala Lumpur,1,,cheap
2015,1500,Cheras,Service Residence,1,2,1,618,Fully Furnished,Kuala Lumpur,12,4,Expensive
,1200,City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,9,1,cheap
2015,2000,Cheras,Service Residence,2,2,2,833,Fully Furnished,Kuala Lumpur,12,4,Expensive
2015,2300,Cheras,Service Residence,3,2,2,1166,Fully Furnished,Kuala Lumpur,12,4,Expensive
,1450,Cheras,Condominium,3,2,2,1200,Partially Furnished,Kuala Lumpur,11,4,cheap
,1500,Sentul,Service Residence,3,2,2,1002,Partially Furnished,Kuala Lumpur,14,5,cheap
2025,2300,Cheras,Condominium,3,2,2,893,Fully Furnished,Kuala Lumpur,10,3,Expensive
2017,2600,Sentul,Condominium,3,2,3,1300,Fully Furnished,Kuala Lumpur,,,Expensive
2004,2500,Kuching,Condominium,3,3,2,1050,Fully Furnished,Kuala Lumpur,10,4,Expensive
,1500,Kuching,Condominium,2,1,2,870,Partially Furnished,Kuala Lumpur,10,3,Expensive
,2200,Kuching,Condominium,3,1,2,1470,Partially Furnished,Kuala Lumpur,10,3,Expensive
2021,1700,Kepong,Service Residence,3,2,2,953,Not Furnished,Kuala Lumpur,8,3,cheap
2020,1500,Kepong,Condominium,3,2,3,1144,Partially Furnished,Kuala Lumpur,11,3,cheap
2021,2000,Kepong,Service Residence,3,2,2,1009,Partially Furnished,Kuala Lumpur,8,3,Expensive
2017,1400,Sentul,Service Residence,3,2,2,1009,Partially Furnished,Kuala Lumpur,8,1,cheap
,1200,Kuching,Service Residence,1,1,1,600,Partially Furnished,Kuala Lumpur,6,3,Expensive
,1999,Kiara,Service Residence,1,1,1,500,Fully Furnished,Kuala Lumpur,8,3,Expensive
,1200,Melawati,Apartment,3,1,2,850,Not Furnished,Kuala Lumpur,,,cheap
,1000,Petaling,Condominium,3,1,2,765,Partially Furnished,Kuala Lumpur,,,cheap
2020,1400,Keramat,Condominium,3,1,2,900,Not Furnished,Kuala Lumpur,10,,cheap
,1800,Setapak,Service Residence,3,1,3,1219,Partially Furnished,Kuala Lumpur,9,1,Expensive
2019,1800,Kepong,Service Residence,3,1,2,829,Partially Furnished,Kuala Lumpur,,,Expensive
2021,1200,Sentul,Service Residence,2,1,1,646,Fully Furnished,Kuala Lumpur,14,5,Expensive
,900,Ipoh,Apartment,3,,2,1100,Not Furnished,Kuala Lumpur,2,2,cheap
2018,2000,Ipoh,Service Residence,2,1,2,904,Fully Furnished,Kuala Lumpur,14,2,Expensive
,950,Desa,Apartment,2,,1,650,Partially Furnished,Kuala Lumpur,1,,cheap
2017,2100,Pandan,Service Residence,3,1,2,950,Partially Furnished,Kuala Lumpur,6,3,Expensive
2014,3000,KLCC,Service Residence,2,1,2,970,Fully Furnished,Kuala Lumpur,11,4,Expensive
2019,2200,Road,Service Residence,3,2,2,900,Fully Furnished,Kuala Lumpur,10,3,Expensive
2019,2299,Road,Service Residence,3,2,2,852,Partially Furnished,Kuala Lumpur,10,2,Expensive
2017,1999,Road,Service Residence,2,2,2,814,Partially Furnished,Kuala Lumpur,12,2,Expensive
,1300,Besi,Apartment,2,1,1,654,Partially Furnished,Kuala Lumpur,7,,Expensive
,1200,Desa,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,8,,cheap
,1700,Cheras,Condominium,3,2,2,1018,Partially Furnished,Kuala Lumpur,8,2,cheap
,2500,KLCC,Condominium,1,,1,473,Fully Furnished,Kuala Lumpur,7,4,Expensive
2007,1900,Kuching,Service Residence,3,1,2,1295,Fully Furnished,Kuala Lumpur,11,3,Expensive
,1400,Maju,Apartment,3,1,2,800,Not Furnished,Kuala Lumpur,7,2,cheap
,950,Kepong,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,4,,cheap
2005,1600,Cheras,Condominium,3,1,2,928,Fully Furnished,Kuala Lumpur,10,3,cheap
,1200,Jalil,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,4,,cheap
,1100,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,4,2,cheap
,900,Jalil,Apartment,3,1,2,667,Partially Furnished,Kuala Lumpur,3,,cheap
,1800,Sentul,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,10,2,Expensive
2021,2700,Cheras,Condominium,2,1,2,850,Fully Furnished,Kuala Lumpur,5,,Expensive
,1500,Setapak,Condominium,3,1,2,1426,Partially Furnished,Kuala Lumpur,8,2,cheap
2013,2700,Kuching,Condominium,3,1,2,1015,Fully Furnished,Kuala Lumpur,10,4,Expensive
2017,2000,Ipoh,Condominium,3,2,2,978,Partially Furnished,Kuala Lumpur,5,3,Expensive
,1500,Setapak,Condominium,3,1,2,1018,Partially Furnished,Kuala Lumpur,10,4,cheap
2019,1600,Setapak,Condominium,3,2,2,928,Partially Furnished,Kuala Lumpur,10,4,cheap
,1000,Kepong,Apartment,3,,1,750,Partially Furnished,Kuala Lumpur,4,1,cheap
,1800,Sentul,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,11,4,Expensive
2014,1600,Ipoh,Service Residence,3,1,2,1009,Fully Furnished,Kuala Lumpur,9,3,cheap
2022,1600,Petaling,Condominium,3,1,2,900,Partially Furnished,Kuala Lumpur,6,,cheap
,1300,Pandan,Apartment,3,1,2,1000,Fully Furnished,Kuala Lumpur,,,cheap
,1000,Maju,Apartment,2,2,1,600,Not Furnished,Kuala Lumpur,4,,cheap
,1600,Setapak,Service Residence,3,1,2,926,Not Furnished,Kuala Lumpur,,,cheap
2014,1700,Lama,Condominium,3,1,2,1215,Partially Furnished,Kuala Lumpur,10,3,cheap
2020,1300,Kepong,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,1,1,cheap
2016,3000,Road,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,11,5,Expensive
2019,1300,Segambut,Service Residence,1,1,1,653,Partially Furnished,Kuala Lumpur,,,Expensive
,1400,Cheras,Condominium,3,2,2,947,Partially Furnished,Kuala Lumpur,10,2,cheap
,1500,Cheras,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,,,cheap
2022,1800,Setapak,Service Residence,3,1,2,884,Partially Furnished,Kuala Lumpur,,2,Expensive
,2500,KLCC,Service Residence,1,,1,450,Fully Furnished,Kuala Lumpur,6,4,Expensive
2017,2400,Cheras,Service Residence,2,1,2,1168,Partially Furnished,Kuala Lumpur,11,,Expensive
,1100,Ampang,Apartment,3,1,2,750,Partially Furnished,Kuala Lumpur,2,,cheap
,1700,Cheras,Apartment,3,2,2,807,Fully Furnished,Kuala Lumpur,,,cheap
2021,2700,Cheras,Service Residence,2,1,2,736,Fully Furnished,Kuala Lumpur,8,,Expensive
2007,1300,Ampang,Apartment,3,1,2,871,Partially Furnished,Kuala Lumpur,2,,cheap
2021,1300,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,5,,cheap
2023,1600,Setapak,Apartment,3,1,2,969,Partially Furnished,Kuala Lumpur,3,4,cheap
2021,1200,Jalil,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,5,,cheap
,3000,Hilir,Condominium,2,1,2,1227,Fully Furnished,Kuala Lumpur,12,3,Expensive
2016,2000,Road,Condominium,3,2,2,1202,Fully Furnished,Kuala Lumpur,12,4,Expensive
,900,Kepong,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,4,,cheap
,1800,Sentul,Condominium,3,1,2,900,Fully Furnished,Kuala Lumpur,6,4,Expensive
,1700,Setapak,Apartment,3,1,2,885,Fully Furnished,Kuala Lumpur,,,cheap
,1000,Jalil,Condominium,1,1,1,650,Partially Furnished,Kuala Lumpur,7,2,Expensive
,1300,Cheras,Condominium,3,1,2,750,Partially Furnished,Kuala Lumpur,6,4,cheap
,1300,Pandan,Apartment,3,,2,900,Fully Furnished,Kuala Lumpur,7,,cheap
2016,2500,Road,Condominium,3,1,2,1200,Fully Furnished,Kuala Lumpur,11,5,Expensive
,1300,Menjalara,Condominium,3,1,2,1076,Fully Furnished,Kuala Lumpur,5,,cheap
,2200,Pudu,Condominium,3,1,2,1060,Partially Furnished,Kuala Lumpur,11,4,Expensive
2021,1400,Cheras,Service Residence,2,2,2,650,Not Furnished,Kuala Lumpur,8,3,Expensive
2016,1700,Road,Condominium,2,1,2,911,Fully Furnished,Kuala Lumpur,8,,Expensive
2006,3000,Centre,Condominium,3,3,3,1323,Fully Furnished,Kuala Lumpur,7,,Expensive
,2500,Sentul,Service Residence,2,,2,999,Fully Furnished,Kuala Lumpur,8,4,Expensive
,2400,Sentul,Condominium,3,2,2,1000,Fully Furnished,Kuala Lumpur,,,Expensive
2021,2000,Sentul,Service Residence,2,1,1,646,Fully Furnished,Kuala Lumpur,9,4,Expensive
,3200,Kiara,Service Residence,2,2,1,925,Fully Furnished,Kuala Lumpur,10,3,Expensive
,3100,Cheras,Condominium,3,2,2,1125,Fully Furnished,Kuala Lumpur,,,Expensive
2022,1750,Sentul,Condominium,1,1,1,600,Fully Furnished,Kuala Lumpur,14,,Expensive
2021,1599,Kepong,Service Residence,3,1,2,920,Partially Furnished,Kuala Lumpur,9,4,cheap
2025,2300,Cheras,Condominium,3,2,2,893,Fully Furnished,Kuala Lumpur,8,,Expensive
2016,2000,City,Service Residence,1,1,2,911,Fully Furnished,Kuala Lumpur,13,3,Expensive
,1000,Kepong,Condominium,3,1,2,903,Partially Furnished,Kuala Lumpur,2,,cheap
,2100,Maju,Service Residence,3,2,2,1085,Partially Furnished,Kuala Lumpur,9,4,Expensive
,1200,City,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,4,2,cheap
,1300,Desa,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,6,,cheap
,1000,Pandan,Condominium,1,,1,750,Partially Furnished,Kuala Lumpur,13,3,Expensive
,1400,Pandan,Condominium,1,,1,800,Fully Furnished,Kuala Lumpur,13,4,Expensive
2018,1799,Setapak,Condominium,3,1,2,900,Fully Furnished,Kuala Lumpur,8,,cheap
2022,1400,Setapak,Condominium,3,1,2,850,Fully Furnished,Kuala Lumpur,14,5,cheap
2007,2100,Bintang,Service Residence,2,1,2,750,Fully Furnished,Kuala Lumpur,6,4,Expensive
,1280,Cheras,Condominium,3,1,2,960,Fully Furnished,Kuala Lumpur,6,2,cheap
,1950,Kuching,Service Residence,3,1,2,900,Fully Furnished,Kuala Lumpur,10,3,Expensive
,530,Jalil,Condominium,1,,1,500,Fully Furnished,Kuala Lumpur,5,5,cheap
2022,2200,Setapak,Service Residence,3,2,2,1000,Partially Furnished,Kuala Lumpur,5,2,Expensive
,680,Jalil,Condominium,1,,1,1000,Fully Furnished,Kuala Lumpur,5,5,Expensive
,1200,Kepong,Apartment,3,1,2,955,Not Furnished,Kuala Lumpur,6,2,cheap
2020,1000,Kepong,Apartment,3,1,2,800,Not Furnished,Kuala Lumpur,4,2,cheap
2012,2000,Ismail,Service Residence,1,1,1,560,Fully Furnished,Kuala Lumpur,5,,Expensive
,780,Jalil,Condominium,1,,1,1200,Fully Furnished,Kuala Lumpur,5,5,Expensive
2013,1700,Setapak,Condominium,3,2,2,1313,Not Furnished,Kuala Lumpur,7,,cheap
2020,1500,Jalil,Condominium,3,1,2,800,Partially Furnished,Kuala Lumpur,7,5,cheap
2006,2700,Centre,Condominium,3,3,3,1323,Fully Furnished,Kuala Lumpur,7,,Expensive
,850,Kepong,Apartment,3,1,2,837,Not Furnished,Kuala Lumpur,1,1,cheap
,1800,Kepong,Condominium,3,2,2,1920,Partially Furnished,Kuala Lumpur,5,1,Expensive
,1900,Besi,Service Residence,2,2,2,1046,Fully Furnished,Kuala Lumpur,,,Expensive
2021,2480,Kepong,Apartment,2,1,2,900,Fully Furnished,Kuala Lumpur,11,4,Expensive
,1600,Setapak,Apartment,3,1,2,1018,Partially Furnished,Kuala Lumpur,,,cheap
2007,1800,Setapak,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,7,4,Expensive
2013,2899,City,Service Residence,2,1,1,797,Fully Furnished,Kuala Lumpur,11,4,Expensive
2020,2300,Kepong,Apartment,3,2,2,1216,Fully Furnished,Kuala Lumpur,14,3,Expensive
2022,1800,Sentul,Condominium,2,2,2,800,Partially Furnished,Kuala Lumpur,14,,Expensive
2014,1600,Ipoh,Service Residence,3,1,2,1009,Fully Furnished,Kuala Lumpur,7,3,cheap
2009,2700,Kiara,Service Residence,1,1,1,672,Fully Furnished,Kuala Lumpur,8,3,Expensive
2018,1200,Hartamas,Service Residence,1,1,1,500,Fully Furnished,Kuala Lumpur,8,2,Expensive
2014,1400,Segambut,Apartment,2,1,1,750,Fully Furnished,Kuala Lumpur,5,4,Expensive
2021,1599,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,5,,cheap
2019,1750,Kepong,Condominium,3,2,2,1100,Fully Furnished,Kuala Lumpur,14,5,cheap
,1300,Kepong,Service Residence,3,1,2,808,Fully Furnished,Kuala Lumpur,7,,cheap
2015,1800,Sentul,Condominium,3,2,2,1300,Partially Furnished,Kuala Lumpur,6,2,Expensive
,1500,Sentul,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,8,2,cheap
,2000,Sentul,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,,2,Expensive
2020,1300,Sentul,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,4,Expensive
,1300,Sentul,Apartment,3,1,2,1000,Not Furnished,Kuala Lumpur,14,1,cheap
2021,1400,Lama,Condominium,3,1,2,1200,Partially Furnished,Kuala Lumpur,7,3,cheap
2016,1850,Setapak,Condominium,3,2,2,850,Fully Furnished,Kuala Lumpur,6,4,Expensive
2021,1200,Sentul,Service Residence,2,1,1,661,Not Furnished,Kuala Lumpur,7,,Expensive
2016,1500,Ipoh,Condominium,3,2,2,1037,Partially Furnished,Kuala Lumpur,8,3,cheap
,1500,Ipoh,Condominium,3,1,2,1272,Partially Furnished,Kuala Lumpur,7,2,cheap
2020,1500,Pantai,Apartment,3,1,2,810,Partially Furnished,Kuala Lumpur,6,2,cheap
2021,1600,Jalil,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,5,4,cheap
,1700,Setapak,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,6,2,cheap
,1650,Setapak,Condominium,1,1,1,689,Fully Furnished,Kuala Lumpur,7,4,Expensive
,1000,Setapak,Apartment,3,,2,700,Partially Furnished,Kuala Lumpur,,,cheap
,1400,Pandan,Apartment,3,1,2,1000,Fully Furnished,Kuala Lumpur,,4,cheap
2019,2150,Kepong,Service Residence,3,2,2,960,Fully Furnished,Kuala Lumpur,12,4,Expensive
2019,1900,Besi,Condominium,3,1,2,840,Fully Furnished,Kuala Lumpur,12,3,Expensive
2019,1900,Setapak,Apartment,3,1,2,928,Partially Furnished,Kuala Lumpur,7,5,Expensive
,1200,OUG,Service Residence,3,1,2,950,Partially Furnished,Kuala Lumpur,7,2,cheap
2021,1500,Kepong,Service Residence,3,2,2,1136,Partially Furnished,Kuala Lumpur,10,3,cheap
,1600,Sentul,Condominium,3,1,2,1300,Fully Furnished,Kuala Lumpur,9,3,cheap
,1500,Cheras,Condominium,3,2,2,947,Partially Furnished,Kuala Lumpur,,,cheap
,1100,Cheras,Condominium,3,,2,800,Not Furnished,Kuala Lumpur,8,2,cheap
2017,2600,Sentul,Condominium,3,2,3,1186,Fully Furnished,Kuala Lumpur,14,5,Expensive
2015,1550,Cheras,Condominium,3,1,2,1140,Partially Furnished,Kuala Lumpur,5,,cheap
2021,1600,Kepong,Service Residence,3,1,2,916,Partially Furnished,Kuala Lumpur,8,2,cheap
,1300,Cheras,Apartment,3,2,2,700,Fully Furnished,Kuala Lumpur,6,3,cheap
2023,1900,Ipoh,Service Residence,2,1,1,611,Partially Furnished,Kuala Lumpur,9,5,Expensive
2021,1650,Sentul,Condominium,3,2,2,850,Partially Furnished,Kuala Lumpur,6,2,cheap
2016,2000,Road,Condominium,2,1,2,892,Fully Furnished,Kuala Lumpur,8,3,Expensive
,2000,Jalil,Condominium,3,1,2,1100,Partially Furnished,Kuala Lumpur,8,,Expensive
2007,1800,Setapak,Condominium,3,1,2,1076,Fully Furnished,Kuala Lumpur,6,3,Expensive
2016,1800,Setapak,Condominium,3,1,2,850,Fully Furnished,Kuala Lumpur,6,,Expensive
2020,1100,Kepong,Apartment,3,2,2,800,Not Furnished,Kuala Lumpur,1,1,cheap
2021,1300,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,9,3,Expensive
,850,Selatan,Apartment,2,,2,700,Partially Furnished,Kuala Lumpur,,,cheap
,1000,Kepong,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,7,3,cheap
2021,1400,Kepong,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,4,2,cheap
,1700,City,Service Residence,1,1,1,550,Fully Furnished,Kuala Lumpur,7,4,Expensive
2010,2800,Melawati,Condominium,3,2,2,850,Fully Furnished,Kuala Lumpur,7,,Expensive
,1000,Setapak,Apartment,3,,1,653,Partially Furnished,Kuala Lumpur,4,2,cheap
2021,1200,Kepong,Apartment,3,1,2,800,Not Furnished,Kuala Lumpur,3,2,cheap
2017,1600,Sentul,Service Residence,3,1,2,948,Partially Furnished,Kuala Lumpur,9,3,cheap
2022,2500,Setapak,Service Residence,3,1,2,1100,Partially Furnished,Kuala Lumpur,8,4,Expensive
,1599,Setapak,Apartment,3,1,2,900,Partially Furnished,Kuala Lumpur,,,cheap
,2200,Besi,Service Residence,2,1,2,888,Fully Furnished,Kuala Lumpur,10,4,Expensive
