completion_year,monthly_rent_rm,location,property_type,rooms,parking,bathroom,size_sqft,furnished,region,fac_count,add_fac_count,nearby_ktm_lrt
,1000,Jalil,Apartment,3,2,2,800,Partially Furnished,Kuala Lumpur,7,1,yes
,1000,OUG,Service Residence,3,1,2,950,Not Furnished,Kuala Lumpur,9,2,yes
,650,Kepong,Apartment,3,1,2,650,Not Furnished,Kuala Lumpur,4,1,no
2000,1000,Jalil,Apartment,3,1,2,870,Partially Furnished,Kuala Lumpur,7,3,yes
2000,1400,Desa,Condominium,3,1,2,938,Partially Furnished,Kuala Lumpur,12,3,no
,602,Besi,Condominium,2,1,1,590,Not Furnished,Kuala Lumpur,10,1,no
,603,Cheras,Condominium,2,1,1,590,Not Furnished,Kuala Lumpur,9,1,no
2021,1300,Cheras,Service Residence,2,1,2,650,Partially Furnished,Kuala Lumpur,8,3,yes
2000,950,Jalil,Apartment,2,1,1,726,Not Furnished,Kuala Lumpur,7,1,yes
,1400,Keramat,Condominium,3,1,2,850,Not Furnished,Kuala Lumpur,6,,
1994,1500,Cheras,Condominium,3,1,2,956,Partially Furnished,Kuala Lumpur,7,,
2021,1500,Sentul,Service Residence,3,1,2,890,Partially Furnished,Kuala Lumpur,14,,
,1600,Sentul,Condominium,3,1,2,800,Fully Furnished,Kuala Lumpur,10,3,no
2015,1600,Cheras,Condominium,1,1,1,618,Fully Furnished,Kuala Lumpur,9,1,no
2015,1850,Cheras,Condominium,3,1,2,1142,Fully Furnished,Kuala Lumpur,10,3,no
,1650,Kuching,Condominium,1,1,1,563,Fully Furnished,Kuala Lumpur,9,3,no
2019,2000,Road,Service Residence,3,2,2,883,Fully Furnished,Kuala Lumpur,10,4,yes
,700,Kuching,Apartment,3,1,2,795,Partially Furnished,Kuala Lumpur,3,1,no
2023,1700,Cheras,Condominium,3,2,2,850,Partially Furnished,Kuala Lumpur,14,3,yes
,1600,Jalil,Condominium,3,1,2,825,Partially Furnished,Kuala Lumpur,8,3,yes
,2000,Jalil,Condominium,3,1,2,1422,Fully Furnished,Kuala Lumpur,14,5,yes
,1500,Road,Condominium,3,1,2,1260,Fully Furnished,Kuala Lumpur,14,5,yes
2018,2300,Ampang,Service Residence,2,1,2,747,Fully Furnished,Kuala Lumpur,9,3,no
2019,2600,Petaling,Condominium,4,2,2,1219,Fully Furnished,Kuala Lumpur,9,3,no
2018,2300,Ampang,Service Residence,2,1,2,747,Fully Furnished,Kuala Lumpur,11,2,no
,1300,Sentul,Apartment,3,,2,1005,Partially Furnished,Kuala Lumpur,4,,
2017,1550,Cheras,Condominium,4,1,2,1037,Partially Furnished,Kuala Lumpur,8,3,yes
2020,2300,Keramat,Condominium,4,2,2,1184,Fully Furnished,Kuala Lumpur,13,2,no
2018,2000,Melawati,Service Residence,2,2,2,836,Partially Furnished,Kuala Lumpur,6,3,no
,1500,Ampang,Condominium,2,1,2,850,Fully Furnished,Kuala Lumpur,6,3,no
,2700,Kiara,Service Residence,2,1,2,839,Fully Furnished,Kuala Lumpur,11,3,no
2008,1800,Dutamas,Condominium,3,2,2,950,Partially Furnished,Kuala Lumpur,9,3,no
2009,1250,Lama,Service Residence,3,1,2,950,Not Furnished,Kuala Lumpur,3,1,no
,650,Selatan,Flat,3,1,2,646,Not Furnished,Kuala Lumpur,4,1,yes
2020,1800,Keramat,Condominium,3,2,2,926,Partially Furnished,Kuala Lumpur,8,,
2015,2200,Besi,Apartment,2,,2,845,Fully Furnished,Kuala Lumpur,10,4,yes
,1600,Jalil,Apartment,3,1,2,1221,Fully Furnished,Kuala Lumpur,10,4,yes
2016,1700,Cheras,Condominium,3,,3,1250,Fully Furnished,Kuala Lumpur,,2,no
2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,Kuala Lumpur,10,3,yes
2021,1100,Cheras,Service Residence,3,1,2,820,Partially Furnished,Kuala Lumpur,11,3,yes
,1600,Melawati,Apartment,2,2,2,1052,Partially Furnished,Kuala Lumpur,7,,
,2900,Ampang,Condominium,4,1,4,2500,Partially Furnished,Kuala Lumpur,7,3,no
,2500,Bangsar,Condominium,2,1,2,1100,Fully Furnished,Kuala Lumpur,10,3,no
,1300,Setapak,Condominium,2,1,2,900,Not Furnished,Kuala Lumpur,6,1,no
2020,1600,Keramat,Condominium,3,2,2,926,Partially Furnished,Kuala Lumpur,10,2,no
2022,1800,Setapak,Service Residence,3,2,2,1100,Partially Furnished,Kuala Lumpur,6,4,yes
,850,Maju,Flat,3,,2,700,Not Furnished,Kuala Lumpur,,,
,1500,Setapak,Condominium,3,1,2,900,Not Furnished,Kuala Lumpur,6,1,no
,850,Keramat,Flat,2,,1,549,Partially Furnished,Kuala Lumpur,,,
2007,1100,Kepong,Condominium,3,1,2,962,Not Furnished,Kuala Lumpur,4,2,yes
,1150,Menjalara,Condominium,3,1,2,965,Not Furnished,Kuala Lumpur,4,,
2007,1100,Kepong,Condominium,3,,2,962,Not Furnished,Kuala Lumpur,10,2,yes
2022,2000,Setapak,Service Residence,3,2,2,1100,Partially Furnished,Kuala Lumpur,5,1,no
,1300,Setapak,Condominium,3,1,2,920,Partially Furnished,Kuala Lumpur,10,3,no
,1500,Lama,Condominium,3,1,2,1040,Fully Furnished,Kuala Lumpur,11,4,yes
2018,1250,Hartamas,Service Residence,1,1,1,500,Fully Furnished,Kuala Lumpur,8,2,no
2007,1500,Hartamas,Service Residence,1,,1,640,Fully Furnished,Kuala Lumpur,10,3,no
2021,1400,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,14,5,yes
2007,1400,Segambut,Condominium,3,1,2,1049,Partially Furnished,Kuala Lumpur,9,2,no
,1500,Menjalara,Condominium,4,1,2,918,Fully Furnished,Kuala Lumpur,7,2,no
2021,1400,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,14,5,yes
2021,1400,Sentul,Service Residence,3,,2,850,Fully Furnished,Kuala Lumpur,14,5,yes
,1350,Dutamas,Condominium,2,1,1,950,Partially Furnished,Kuala Lumpur,11,5,yes
,850,Jalil,Apartment,3,,2,1200,Fully Furnished,Kuala Lumpur,,,
,1000,Jalil,Apartment,3,,2,800,Fully Furnished,Kuala Lumpur,4,,
,650,Cheras,Apartment,3,,2,650,Partially Furnished,Kuala Lumpur,4,2,yes
2013,1800,Titiwangsa,Condominium,2,,1,737,Partially Furnished,Kuala Lumpur,7,4,yes
2020,2000,Kepong,Apartment,3,2,3,1073,Partially Furnished,Kuala Lumpur,14,3,yes
,900,Cheras,Apartment,3,,2,850,Partially Furnished,Kuala Lumpur,,,
,1000,Jalil,Apartment,3,,2,800,Fully Furnished,Kuala Lumpur,4,,
,850,Jalil,Apartment,3,,2,800,Not Furnished,Kuala Lumpur,,,
,2900,Kiara,Service Residence,3,2,2,940,Fully Furnished,Kuala Lumpur,10,3,no
2019,2000,Hilir,Service Residence,2,1,1,697,Fully Furnished,Kuala Lumpur,4,3,no
2020,2400,Keramat,Condominium,3,2,2,1065,Fully Furnished,Kuala Lumpur,10,3,no
1993,1200,Setapak,Apartment,3,,2,890,Partially Furnished,Kuala Lumpur,4,1,no
,7900,KLCC,Condominium,4,2,5,3337,Partially Furnished,Kuala Lumpur,,,
,900,Ipoh,Apartment,3,,2,900,Partially Furnished,Kuala Lumpur,2,,
2017,1350,Road,Service Residence,2,2,1,730,Partially Furnished,Kuala Lumpur,5,4,yes
,3200,ParkCity,Condominium,2,2,2,895,Partially Furnished,Kuala Lumpur,,,
,3500,ParkCity,Condominium,3,2,2,1389,Partially Furnished,Kuala Lumpur,,2,no
2019,2300,Keramat,Condominium,3,2,2,1050,Fully Furnished,Kuala Lumpur,6,4,yes
,1650,Setapak,Condominium,4,1,2,1275,Partially Furnished,Kuala Lumpur,10,1,no
,2000,Keramat,Apartment,3,1,3,1280,Partially Furnished,Kuala Lumpur,5,2,no
,1100,City,Apartment,3,1,2,805,Partially Furnished,Kuala Lumpur,9,2,yes
2015,2500,Segambut,Condominium,4,2,3,1300,Fully Furnished,Kuala Lumpur,,3,no
2008,4300,Kiara,Condominium,4,2,3,2100,Fully Furnished,Kuala Lumpur,8,3,no
2018,3000,Seputeh,Service Residence,3,1,2,1300,Fully Furnished,Kuala Lumpur,10,,
2016,2100,Cheras,Condominium,2,1,2,960,Fully Furnished,Kuala Lumpur,8,4,yes
2014,1800,Sentul,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,8,4,no
1998,1600,Cheras,Condominium,3,1,2,960,Fully Furnished,Kuala Lumpur,5,,
2007,1400,Segambut,Condominium,3,1,2,1049,Fully Furnished,Kuala Lumpur,9,1,no
,4500,Kiara,Service Residence,2,1,2,873,Fully Furnished,Kuala Lumpur,9,5,yes
2015,16800,KLCC,Condominium,3,2,5,2197,Fully Furnished,Kuala Lumpur,12,5,yes
2016,2700,Keramat,Condominium,3,2,2,1372,Partially Furnished,Kuala Lumpur,10,4,yes
2021,2000,Cheras,Service Residence,3,,2,819,Fully Furnished,Kuala Lumpur,8,1,yes
,1200,Maju,Flat,2,,1,550,Not Furnished,Kuala Lumpur,1,1,yes
,1500,OUG,Service Residence,3,1,2,950,Fully Furnished,Kuala Lumpur,14,5,yes
2016,1900,Road,Condominium,3,1,2,1202,Fully Furnished,Kuala Lumpur,12,5,yes
,1199,Segambut,Apartment,3,,2,995,Partially Furnished,Kuala Lumpur,8,,
,1300,Kepong,Service Residence,3,,2,801,Partially Furnished,Kuala Lumpur,9,3,yes
2013,1200,Road,Condominium,1,,1,350,Fully Furnished,Kuala Lumpur,10,4,yes
,1600,Setapak,Service Residence,3,1,2,926,Partially Furnished,Kuala Lumpur,,,
,1400,Sentul,Apartment,3,1,2,1000,Partially Furnished,Kuala Lumpur,11,,
2021,1600,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,9,,
,1800,Keramat,Condominium,3,1,2,926,Partially Furnished,Kuala Lumpur,13,1,no
,1700,Kepong,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,5,yes
,1399,Setapak,Condominium,3,2,2,850,Partially Furnished,Kuala Lumpur,,,
,750,Besi,Apartment,3,,2,650,Not Furnished,Kuala Lumpur,2,1,yes
,1500,Lama,Condominium,3,1,2,1040,Fully Furnished,Kuala Lumpur,,,
,950,Cheras,Apartment,2,,1,650,Partially Furnished,Kuala Lumpur,4,,
2009,1000,Kepong,Apartment,3,1,2,948,Partially Furnished,Kuala Lumpur,9,2,no
2013,2400,Cheras,Service Residence,3,2,2,920,Fully Furnished,Kuala Lumpur,6,4,yes
1985,1400,Desa,Condominium,2,1,2,1050,Partially Furnished,Kuala Lumpur,11,1,no
,2500,Damansara,Condominium,2,1,2,797,Not Furnished,Kuala Lumpur,13,1,no
,2000,Road,Condominium,2,1,2,817,Partially Furnished,Kuala Lumpur,8,3,no
,1500,Pudu,Apartment,3,1,2,980,Partially Furnished,Kuala Lumpur,7,1,yes
,1200,Desa,Condominium,4,2,2,1200,Partially Furnished,Kuala Lumpur,12,3,no
2017,1899,Maju,Condominium,3,1,2,860,Fully Furnished,Kuala Lumpur,6,,
2009,1799,Ipoh,Condominium,2,1,2,850,Fully Furnished,Kuala Lumpur,7,,
2021,1800,Damansara,Service Residence,1,1,1,499,Fully Furnished,Kuala Lumpur,11,3,no
,750,Cheras,Apartment,3,2,1,650,Partially Furnished,Kuala Lumpur,5,1,no
,1200,Cheras,Apartment,3,,2,800,Partially Furnished,Kuala Lumpur,,,
2018,1799,Melawati,Condominium,2,2,1,640,Fully Furnished,Kuala Lumpur,6,,
,1500,Sentul,Condominium,3,1,2,1000,Partially Furnished,Kuala Lumpur,9,4,yes
,1400,Sentul,Apartment,3,,2,1000,Partially Furnished,Kuala Lumpur,9,4,yes
2025,1800,Cheras,Condominium,2,2,2,893,Not Furnished,Kuala Lumpur,12,1,no
,900,Desa,Condominium,1,,1,560,Fully Furnished,Kuala Lumpur,9,,
2023,3000,Cheras,Condominium,4,2,2,1030,Fully Furnished,Kuala Lumpur,11,3,no
,1600,Kuching,Service Residence,1,1,1,563,Fully Furnished,Kuala Lumpur,7,4,yes
2010,1850,Setapak,Condominium,4,2,3,1600,Partially Furnished,Kuala Lumpur,7,2,no
2020,2300,Jalil,Condominium,3,2,2,1226,Partially Furnished,Kuala Lumpur,10,4,yes
2001,800,Ampang,Condominium,1,1,1,660,Fully Furnished,Kuala Lumpur,10,3,no
2008,1100,Cheras,Apartment,3,,1,616,Not Furnished,Kuala Lumpur,5,2,yes
,800,Cheras,Apartment,3,1,1,700,Partially Furnished,Kuala Lumpur,3,,
2017,2250,South,Service Residence,2,1,1,648,Fully Furnished,Kuala Lumpur,14,4,yes
,1200,Segambut,Condominium,3,1,2,995,Partially Furnished,Kuala Lumpur,8,2,no
,1100,Kepong,Service Residence,4,1,2,916,Partially Furnished,Kuala Lumpur,10,1,no
,1300,Sentul,Condominium,3,1,2,800,Partially Furnished,Kuala Lumpur,11,3,no
2006,1700,Ampang,Apartment,3,1,2,1000,Fully Furnished,Kuala Lumpur,7,,
,3500,KLCC,Service Residence,3,,2,818,Fully Furnished,Kuala Lumpur,5,4,yes
2019,580000,Kepong,Service Residence,3,2,2,958,Fully Furnished,Kuala Lumpur,10,2,no
,850,Kepong,Apartment,3,1,2,650,Not Furnished,Kuala Lumpur,5,1,no
2018,2500,City,Service Residence,1,,1,751,Fully Furnished,Kuala Lumpur,5,3,no
2019,1900,Segambut,Service Residence,2,2,2,903,Partially Furnished,Kuala Lumpur,8,,
,1400,Maju,Condominium,3,1,2,1000,Partially Furnished,Kuala Lumpur,6,,
,1500,Maju,Apartment,3,1,2,800,Not Furnished,Kuala Lumpur,7,,
2007,1700,Setapak,Condominium,3,1,2,950,Partially Furnished,Kuala Lumpur,14,,
,1700,Cheras,Condominium,3,,2,1000,Partially Furnished,Kuala Lumpur,6,3,no
,1189,Setapak,Condominium,3,1,2,911,Partially Furnished,Kuala Lumpur,10,,
2016,1600,City,Condominium,3,,2,911,Fully Furnished,Kuala Lumpur,5,4,yes
2009,1500,Pudu,Service Residence,1,1,1,520,Fully Furnished,Kuala Lumpur,8,4,yes
,1400,Setapak,Service Residence,2,1,2,900,Partially Furnished,Kuala Lumpur,,1,no
,2300,Menjalara,Condominium,4,2,3,1316,Partially Furnished,Kuala Lumpur,8,2,no
,1300,Segambut,Apartment,3,,2,1224,Partially Furnished,Kuala Lumpur,4,2,no
,1100,Kepong,Apartment,3,1,2,1000,Partially Furnished,Kuala Lumpur,4,2,no
2009,1799,Ipoh,Condominium,2,1,2,840,Fully Furnished,Kuala Lumpur,8,4,yes
,900,Cheras,Apartment,2,,2,650,Not Furnished,Kuala Lumpur,5,1,yes
,2200,Setapak,Condominium,3,2,2,1012,Fully Furnished,Kuala Lumpur,7,1,no
2003,1000,Setapak,Condominium,3,,2,1000,Partially Furnished,Kuala Lumpur,10,3,yes
2023,2500,Cheras,Condominium,3,1,2,850,Fully Furnished,Kuala Lumpur,12,5,yes
,1600,Cheras,Condominium,4,,2,1100,Partially Furnished,Kuala Lumpur,6,2,no
,1400,Pudu,Apartment,3,1,2,980,Partially Furnished,Kuala Lumpur,6,,
,1600,Pandan,Condominium,3,,2,1266,Not Furnished,Kuala Lumpur,8,,
,1600,Setapak,Condominium,1,1,1,530,Fully Furnished,Kuala Lumpur,7,,
,850,Kepong,Apartment,3,1,2,650,Not Furnished,Kuala Lumpur,2,1,no
,750,Maju,Apartment,2,,1,550,Not Furnished,Kuala Lumpur,,2,yes
2020,1450,Keramat,Condominium,4,2,2,1184,Not Furnished,Kuala Lumpur,14,4,yes
,1100,Cheras,Flat,3,,2,650,Fully Furnished,Kuala Lumpur,5,1,yes
2021,2200,Lama,Service Residence,3,2,3,1106,Fully Furnished,Kuala Lumpur,10,4,yes
,2000,Cheras,Condominium,3,,2,1025,Partially Furnished,Kuala Lumpur,5,,
,850,Kepong,Apartment,3,1,2,650,Not Furnished,Kuala Lumpur,1,,
1999,1350,Cheras,Condominium,3,1,2,920,Partially Furnished,Kuala Lumpur,7,,
2019,1450,Segambut,Service Residence,2,1,2,900,Partially Furnished,Kuala Lumpur,,,
2020,1800,Keramat,Condominium,4,2,2,1065,Partially Furnished,Kuala Lumpur,10,4,yes
2020,1850,Keramat,Condominium,3,1,2,900,Fully Furnished,Kuala Lumpur,10,4,yes
2020,2499,Keramat,Condominium,4,2,2,1184,Fully Furnished,Kuala Lumpur,10,4,yes
2017,2000,Maju,Apartment,4,2,2,850,Fully Furnished,Kuala Lumpur,6,4,yes
,1150,Selatan,Apartment,3,1,2,797,Partially Furnished,Kuala Lumpur,,,
2021,1800,Kepong,Apartment,3,1,2,978,Partially Furnished,Kuala Lumpur,11,5,yes
2020,1550,Pantai,Apartment,3,1,2,810,Partially Furnished,Kuala Lumpur,8,1,no
2019,1900,Besi,Condominium,3,1,2,839,Fully Furnished,Kuala Lumpur,9,4,yes
,1600,Maju,Apartment,3,1,2,800,Partially Furnished,Kuala Lumpur,,,
,2200,Maju,Service Residence,3,2,2,1087,Fully Furnished,Kuala Lumpur,7,4,yes
2016,2550,Road,Condominium,3,1,2,1148,Fully Furnished,Kuala Lumpur,9,4,no
,1000,Cheras,Flat,3,,2,650,Not Furnished,Kuala Lumpur,6,2,yes
,1350,Cheras,Condominium,3,1,2,867,Partially Furnished,Kuala Lumpur,5,,
2005,700,Cheras,Condominium,3,,2,910,Fully Furnished,Kuala Lumpur,8,5,yes
1993,2500,City,Condominium,3,1,2,1005,Fully Furnished,Kuala Lumpur,10,,
,1200,Pandan,Condominium,3,2,2,900,Not Furnished,Kuala Lumpur,7,1,no
,1350,Cheras,Condominium,3,1,2,750,Fully Furnished,Kuala Lumpur,6,4,yes
,1200,South,Apartment,2,,2,650,Fully Furnished,Kuala Lumpur,7,5,yes
2009,1999,Dutamas,Condominium,3,1,2,1000,Fully Furnished,Kuala Lumpur,10,4,yes
2015,9500,KLCC,Service Residence,3,2,2,1786,Fully Furnished,Kuala Lumpur,2,4,yes
,2200,Besi,Service Residence,2,2,2,1025,Fully Furnished,Kuala Lumpur,14,5,yes
,1150,Jalil,Apartment,3,2,2,800,Not Furnished,Kuala Lumpur,4,,
2021,2900,Cheras,Service Residence,3,2,2,931,Fully Furnished,Kuala Lumpur,8,1,no
2023,1800,Cheras,Condominium,3,2,2,850,Partially Furnished,Kuala Lumpur,9,1,no
,700,Cheras,Flat,2,1,1,665,Partially Furnished,Kuala Lumpur,4,2,no
2012,1750,Ismail,Service Residence,1,1,1,650,Fully Furnished,Kuala Lumpur,10,5,yes
2020,3500,Cheras,Service Residence,2,1,2,1012,Fully Furnished,Kuala Lumpur,6,4,yes
,2300,Pudu,Condominium,3,1,2,850,Fully Furnished,Kuala Lumpur,11,3,yes
,3500,Cheras,Service Residence,3,1,2,1221,Fully Furnished,Kuala Lumpur,,,
2021,1900,Cheras,Condominium,3,2,2,950,Partially Furnished,Kuala Lumpur,9,,
2016,1500,Cheras,Condominium,2,1,2,998,Partially Furnished,Kuala Lumpur,9,1,no
2022,1988,Desa,Condominium,3,2,2,988,Fully Furnished,Kuala Lumpur,14,5,yes
2021,1400,Keramat,Apartment,3,,2,850,Not Furnished,Kuala Lumpur,5,,
2022,1388,Desa,Condominium,3,2,2,958,Partially Furnished,Kuala Lumpur,14,5,yes
2017,1900,Maju,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,14,4,yes
1995,1550,Petaling,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,11,2,no
,2000,Jalil,Condominium,4,1,2,900,Fully Furnished,Kuala Lumpur,8,4,yes
,1500,Lama,Condominium,3,1,2,1040,Fully Furnished,Kuala Lumpur,10,,
,800,Setapak,Flat,3,,1,600,Not Furnished,Kuala Lumpur,6,,
2021,1350,Jalil,Apartment,3,1,2,850,Partially Furnished,Kuala Lumpur,5,,
2016,2199,Road,Condominium,3,1,2,1202,Partially Furnished,Kuala Lumpur,10,2,no
,1300,Cheras,Condominium,3,2,2,1003,Partially Furnished,Kuala Lumpur,14,5,yes
,2000,KLCC,Condominium,2,,2,706,Fully Furnished,Kuala Lumpur,12,2,no
,1500,Ipoh,Service Residence,4,1,2,800,Partially Furnished,Kuala Lumpur,9,,
2021,3000,Cheras,Service Residence,3,1,2,865,Fully Furnished,Kuala Lumpur,9,4,yes
2021,1800,Lama,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,5,yes
2007,1800,Kuching,Service Residence,3,,2,1400,Fully Furnished,Kuala Lumpur,14,3,no
2021,1800,Lama,Condominium,3,2,2,1100,Partially Furnished,Kuala Lumpur,14,5,yes
2009,1500,Dutamas,Condominium,2,1,1,600,Fully Furnished,Kuala Lumpur,10,,
,1600,Kuching,Apartment,1,1,1,563,Fully Furnished,Kuala Lumpur,13,4,yes
2019,1699,Puchong,Service Residence,3,2,2,955,Partially Furnished,Kuala Lumpur,11,2,no
2013,2200,Cheras,Service Residence,3,2,2,920,Fully Furnished,Kuala Lumpur,12,4,yes
,1500,Jalil,Condominium,3,1,2,1018,Fully Furnished,Kuala Lumpur,7,5,yes
2016,2200,Petaling,Service Residence,3,2,3,918,Fully Furnished,Kuala Lumpur,14,5,yes
,1000,Desa,Condominium,3,1,2,830,Partially Furnished,Kuala Lumpur,8,,
2019,1500,Perdana,Apartment,1,1,1,466,Fully Furnished,Kuala Lumpur,11,2,no
2015,1500,Besi,Apartment,3,1,2,954,Fully Furnished,Kuala Lumpur,7,,
2009,1780,Ipoh,Condominium,2,1,2,900,Fully Furnished,Kuala Lumpur,7,4,yes
2019,1899,Puchong,Service Residence,3,2,2,1200,Fully Furnished,Kuala Lumpur,13,3,no
2021,1800,Jalil,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,6,4,yes
,1000,Setapak,Condominium,3,1,2,850,Partially Furnished,Kuala Lumpur,10,,
2017,1900,Maju,Apartment,3,1,2,850,Fully Furnished,Kuala Lumpur,6,,
2004,1300,Kuching,Condominium,3,,2,1100,Partially Furnished,Kuala Lumpur,14,2,no
,850,Jalil,Apartment,3,,2,850,Not Furnished,Kuala Lumpur,5,,
,1000,Jalil,Apartment,3,,2,850,Not Furnished,Kuala Lumpur,5,,
,1000,Desa,Condominium,3,,2,850,Fully Furnished,Kuala Lumpur,6,,
2016,1990,Petaling,Service Residence,3,2,3,928,Partially Furnished,Kuala Lumpur,14,5,yes
2010,1200,Ipoh,Condominium,3,1,2,1400,Not Furnished,Kuala Lumpur,7,2,yes
,1400,Keramat,Condominium,3,1,1,800,Fully Furnished,Kuala Lumpur,6,,
,2600,Ampang,Condominium,3,1,2,1600,Fully Furnished,Kuala Lumpur,,,
,1500,Hartamas,Service Residence,1,,1,590,Fully Furnished,Kuala Lumpur,14,5,yes
2014,1550,Sentul,Condominium,3,1,2,1100,Fully Furnished,Kuala Lumpur,14,3,no
,1750,Kuching,Service Residence,2,1,1,700,Fully Furnished,Kuala Lumpur,8,4,yes
,3700,City,Service Residence,2,1,2,1100,Fully Furnished,Kuala Lumpur,12,4,yes
2018,1600,Ampang,Service Residence,2,1,1,650,Fully Furnished,Kuala Lumpur,9,,
2023,2500,Cheras,Apartment,3,2,2,850,Partially Furnished,Kuala Lumpur,10,3,yes
2017,1500,Sentul,Service Residence,3,1,2,1001,Not Furnished,Kuala Lumpur,7,2,no
,900,Cheras,Apartment,3,,2,850,Not Furnished,Kuala Lumpur,,,
2021,1850,Sentul,Service Residence,3,1,2,850,Partially Furnished,Kuala Lumpur,10,3,yes
2018,1780,City,Service Residence,1,,1,320,Fully Furnished,Kuala Lumpur,6,4,yes
2020,1899,Jalil,Condominium,3,2,3,1023,Partially Furnished,Kuala Lumpur,14,5,yes
,1300,South,Flat,3,,2,720,Fully Furnished,Kuala Lumpur,4,1,no
2019,2000,Kepong,Service Residence,3,2,2,958,Fully Furnished,Kuala Lumpur,14,,
2020,1100,Pantai,Apartment,3,,2,850,Partially Furnished,Kuala Lumpur,6,,
,1200,Cheras,Condominium,3,,2,1000,Fully Furnished,Kuala Lumpur,,,
2020,1000,Jalil,Condominium,3,,2,800,Partially Furnished,Kuala Lumpur,,,
2011,4000,KLCC,Condominium,4,2,3,1200,Fully Furnished,Kuala Lumpur,8,3,no
,1400,Setapak,Apartment,4,1,2,1400,Not Furnished,Kuala Lumpur,14,1,no
,900,Kepong,Apartment,3,,2,720,Partially Furnished,Kuala Lumpur,1,1,yes
2013,1650,Melawati,Service Residence,3,1,2,980,Partially Furnished,Kuala Lumpur,14,3,no
,1300,Road,Condominium,3,1,2,1000,Partially Furnished,Kuala Lumpur,7,3,no
2019,2800,KLCC,Service Residence,1,1,1,600,Fully Furnished,Kuala Lumpur,14,5,yes
2015,1100,Besi,Service Residence,2,,1,565,Partially Furnished,Kuala Lumpur,7,3,no
,1500,Ipoh,Condominium,3,1,2,1200,Partially Furnished,Kuala Lumpur,8,2,yes
2020,1800,Kepong,Service Residence,3,2,2,901,Partially Furnished,Kuala Lumpur,14,2,yes
2019,2700,Gombak,Service Residence,4,2,2,924,Fully Furnished,Kuala Lumpur,5,3,no
2019,3800,Pantai,Condominium,3,2,3,1360,Fully Furnished,Kuala Lumpur,10,3,no
1999,1300,Cheras,Condominium,3,2,2,940,Not Furnished,Kuala Lumpur,7,,
,700,Kepong,Apartment,3,,2,750,Not Furnished,Kuala Lumpur,4,,
,603,Besi,Condominium,2,1,1,592,Not Furnished,Kuala Lumpur,10,1,no
2021,2600,Segambut,Condominium,2,2,2,883,Fully Furnished,Kuala Lumpur,8,,
,1000,Pandan,Flat,3,,2,650,Not Furnished,Kuala Lumpur,,,
2017,1400,Cheras,Service Residence,3,2,2,1050,Partially Furnished,Kuala Lumpur,7,3,yes
,1600,Jalil,Condominium,3,1,2,1800,Partially Furnished,Kuala Lumpur,10,3,yes
2016,2500,Road,Service Residence,3,1,2,935,Fully Furnished,Kuala Lumpur,8,5,yes
2022,2000,Setapak,Service Residence,3,2,2,850,Partially Furnished,Kuala Lumpur,9,3,yes
,1800,Jalil,Condominium,4,1,3,1422,Fully Furnished,Kuala Lumpur,8,5,yes
2020,1800,Jalil,Condominium,3,,2,800,Fully Furnished,Kuala Lumpur,4,4,no
,1400,Kepong,Service Residence,3,1,2,851,Fully Furnished,Kuala Lumpur,8,5,yes
2020,3000,Ampang,Service Residence,2,2,2,850,Fully Furnished,Kuala Lumpur,9,4,no
,1500,Lama,Condominium,3,2,2,1208,Partially Furnished,Kuala Lumpur,9,,
2021,1250,Setapak,Condominium,3,,2,800,Not Furnished,Kuala Lumpur,12,1,no
2017,1200,Cheras,Service Residence,1,1,1,680,Fully Furnished,Kuala Lumpur,9,5,yes
2019,1550,Setapak,Apartment,3,1,2,950,Partially Furnished,Kuala Lumpur,5,5,yes
2013,3500,Hilir,Service Residence,3,2,2,1529,Fully Furnished,Kuala Lumpur,5,3,no
2005,1980,Cheras,Condominium,3,1,2,930,Partially Furnished,Kuala Lumpur,7,1,no
2023,2300,Cheras,Condominium,4,2,2,1000,Partially Furnished,Kuala Lumpur,12,3,yes
1998,1500,Cheras,Condominium,3,1,2,930,Fully Furnished,Kuala Lumpur,5,5,yes
,1250,Cheras,Condominium,3,1,2,930,Partially Furnished,Kuala Lumpur,5,5,yes
2025,1600,Cheras,Condominium,3,1,2,893,Partially Furnished,Kuala Lumpur,8,5,yes
,1250,Ampang,Condominium,3,1,2,1042,Not Furnished,Kuala Lumpur,7,2,no
2016,2200,Road,Service Residence,2,2,2,895,Fully Furnished,Kuala Lumpur,8,5,yes
2020,1500,Keramat,Condominium,3,1,2,882,Partially Furnished,Kuala Lumpur,4,2,no
2019,1200,Perdana,Apartment,1,1,1,450,Partially Furnished,Kuala Lumpur,10,2,no
,2500,Kiara,Condominium,3,2,2,940,Fully Furnished,Kuala Lumpur,8,4,yes
